Country_Region;Confirmed;Deaths;Recovered;Active
Afghanistan;13036;235;1209;11592
Albania;1076;33;823;220
Algeria;8997;630;5277;3090
Andorra;763;51;681;31
Angola;74;4;18;52
Antigua and Barbuda;25;3;19;3
Argentina;14702;508;4617;9577
Armenia;8216;113;3287;4816
Australia;7165;103;6576;486
Austria;16628;668;15286;674
Azerbaijan;4759;56;3022;1681
Bahamas;101;11;47;43
Bahrain;10052;15;5419;4618
Bangladesh;40321;559;8425;31337
Barbados;92;7;76;9
Belarus;39858;219;16660;22979
Belgium;57849;9388;15572;32889
Belize;18;2;16;0
Benin;210;3;134;73
Bhutan;31;0;6;25
Bolivia;8387;293;738;7356
Bosnia and Herzegovina;2462;153;1781;528
Botswana;35;1;20;14
Brazil;438238;26754;177604;411484
Brunei;141;2;138;1
Bulgaria;2477;134;965;1378
Burkina Faso;847;53;719;75
Burma;206;6;126;74
Burundi;42;1;20;21
Cabo Verde;390;4;155;231
Cambodia;124;0;122;2
Cameroon;5436;175;1996;3265
Canada;89976;6982;46961;36033
Central African Republic;755;1;23;731
Chad;726;65;413;248
Chile;86943;890;36115;86053
China;84106;4638;79371;97
Colombia;24141;833;6132;17176
Comoros;87;2;24;61
Congo;3231;88;542;2601
Costa Rica;1000;10;646;344
Cote d'Ivoire;2641;32;1326;1283
Croatia;2245;102;2051;92
Cuba;1983;82;1734;167
Cyprus;941;17;784;140
Czechia;9140;319;6460;2361
Faroe Islands;187;0;187;0
Greenland;13;0;11;2
Denmark;11512;568;10180;764
Diamond Princess;712;13;651;48
Djibouti;2914;20;1241;1653
Dominica;16;0;16;0
Dominican Republic;16068;485;8952;6631
Ecuador;38471;3313;18425;16733
Egypt;20793;845;5359;14589
El Salvador;2194;39;1002;1153
Equatorial Guinea;1043;12;165;866
Eritrea;39;0;39;0
Estonia;1851;66;1574;211
Eswatini;279;2;168;109
Ethiopia;831;7;191;633
Fiji;18;0;15;3
Finland;6743;313;5500;930
France;186364;28665;67309;90390
Gabon;2431;14;668;1749
Gambia;25;1;19;5
Georgia;738;12;573;153
Germany;182196;8470;163360;10366
Ghana;7303;34;2412;4857
Greece;2906;175;1374;1357
Grenada;23;0;18;5
Guatemala;4348;80;565;3703
Guinea;3553;22;1950;1581
Guinea-Bissau;1195;8;42;1145
Guyana;150;11;67;72
Haiti;1320;34;22;1264
Holy See;12;0;2;10
Honduras;4752;196;519;4037
Hungary;3816;509;1996;1311
Iceland;1805;10;1792;3
India;165386;4711;70920;89755
Indonesia;24538;1496;6240;16802
Iran;143849;7627;112988;23234
Iraq;5457;179;2971;2307
Ireland;24841;1639;22089;1113
Israel;16872;284;14679;1909
Italy;231732;33142;150604;47986
Jamaica;569;9;284;276
Japan;16598;881;14096;1621
Jordan;728;9;497;222
Kazakhstan;9576;37;4900;4639
Kenya;1618;58;421;1139
Korea, South;11402;269;10363;770
Kosovo;1048;30;801;217
Kuwait;24112;185;8698;15229
Kyrgyzstan;1594;16;1066;512
Laos;19;0;16;3
Latvia;1061;24;741;296
Lebanon;1168;26;699;443
Lesotho;2;0;1;1
Liberia;269;27;144;98
Libya;105;5;41;59
Liechtenstein;82;1;55;26
Lithuania;1656;68;1193;395
Luxembourg;4008;110;3803;95
Madagascar;656;2;154;500
Malawi;203;4;37;162
Malaysia;7629;115;6169;1345
Maldives;1513;5;197;1311
Mali;1194;72;652;470
Malta;616;7;501;108
Mauritania;346;19;15;312
Mauritius;334;10;322;2
Mexico;81400;9044;56041;16315
Moldova;7725;282;4123;3320
Monaco;98;4;90;4
Mongolia;161;0;43;118
Montenegro;324;9;315;0
Morocco;7643;202;5195;2246
Mozambique;233;2;82;149
MS Zaandam;9;2;0;7
Namibia;22;0;14;8
Nepal;1042;5;187;850
Netherlands;46152;5922;178;40052
New Zealand;1504;22;1481;1
Nicaragua;759;35;370;354
Niger;955;64;803;88
Nigeria;8915;259;2592;6064
North Macedonia;2077;121;1486;470
Norway;8411;236;7727;448
Oman;9009;40;2177;6792
Pakistan;61227;1260;20231;39736
Panama;12131;320;7379;4432
Papua New Guinea;8;0;8;0
Paraguay;900;11;402;487
Peru;141779;4099;59442;137680
Philippines;15588;921;3598;11069
Poland;22825;1038;10560;11227
Portugal;31596;1369;18637;11590
Qatar;50914;33;15399;35482
Romania;18791;1235;12629;4927
Russia;379051;4142;150993;223916
Rwanda;349;0;245;104
Saint Kitts and Nevis;15;0;15;0
Saint Lucia;18;0;18;0
Saint Vincent and the Grenadines;25;0;14;11
San Marino;670;42;322;306
Sao Tome and Principe;458;12;68;378
Saudi Arabia;80185;441;54553;25191
Senegal;3348;39;1686;1623
Serbia;11300;241;6438;4621
Seychelles;11;0;11;0
Sierra Leone;812;45;361;406
Singapore;33249;23;18294;14932
Slovakia;1520;28;1332;160
Slovenia;1473;108;1356;9
Somalia;1828;72;310;1446
South Africa;27403;577;14370;12456
South Sudan;994;10;6;978
Spain;237906;27119;150376;60411
Sri Lanka;1530;10;745;775
Sudan;4346;195;749;3402
Suriname;12;1;9;2
Sweden;35727;4266;4971;26490
Switzerland;30796;1919;28300;577
Syria;122;4;43;75
Taiwan*;441;7;420;14
Tajikistan;3563;47;1674;1842
Tanzania;509;21;183;305
Thailand;3065;57;2945;63
Timor-Leste;24;0;24;0
Togo;422;13;197;212
Trinidad and Tobago;116;8;108;0
Tunisia;1068;48;938;82
Turkey;160979;4461;124369;32149
Uganda;317;0;69;248
Ukraine;22382;669;8439;13274
United Arab Emirates;32532;258;16685;15589
United Kingdom;270508;37919;1167;231422
Uruguay;811;22;654;135
US;1721753;101616;399991;1620137
Uzbekistan;3444;14;2694;736
Venezuela;1325;11;302;1012
Vietnam;327;0;278;49
West Bank and Gaza;446;3;368;75
Western Sahara;9;1;6;2
Yemen;278;57;11;210
Zambia;1057;7;779;271
Zimbabwe;149;4;28;117
