Region,Display_Name,Population,Lat,Long,25/02/2020,26/02/2020,27/02/2020,28/02/2020,29/02/2020,01/03/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,07/03/2020,08/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,Today,Region_Deaths,FHM_Deaths_Today,Diff
Region Blekinge,Blekinge,159606,56.16156,15.58661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,4,0
Region Dalarna,Dalarna,287966,60.602778,15.656111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,4,1,1,4,2,0,0,6,0,5,6,2,1,1,0,6,4,1,15,0,0,0,2,7,1,6,0,0,3,1,7,0,10,1,0,0,0,0,6,0,4,0,1,0,11,0,5,0,0,0,0,128,128,0
Region Gotland,Gotland,59686,57.628889,18.307222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,-1
Region Gävleborg,Gävleborg,287382,60.674722,17.144444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,12,2,8,0,0,0,6,2,0,1,0,0,3,1,4,1,2,1,0,4,0,3,0,2,2,2,3,3,3,3,3,0,0,0,3,6,0,1,0,0,0,4,90,90,0
Region Halland,Halland,333848,56.658333,12.900278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1,0,2,0,0,2,1,2,0,1,0,0,0,0,2,2,2,2,0,0,0,2,2,1,2,0,0,2,0,0,2,0,0,1,2,1,0,2,1,1,0,1,0,1,1,0,0,0,1,2,48,48,0
Region Jämtland Härjedalen,Jämtland,130810,63.158056,14.679167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,2,0,0,1,18,18,0
Region Jönköpings län,Jönköping,363599,57.78145,14.15618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,2,1,2,0,2,0,2,1,1,3,3,1,1,1,3,4,1,3,1,0,0,1,2,6,2,2,0,1,3,0,10,2,2,0,3,3,6,4,0,8,0,2,1,1,11,2,3,0,0,3,1,117,117,0
Region Kalmar län,Kalmar,245446,56.669444,16.321667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,7,0,0,0,0,25,25,0
Region Kronoberg,Kronoberg,201469,56.889167,14.802778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,2,0,1,0,1,2,0,1,2,0,0,3,2,3,2,0,0,0,2,1,2,5,2,0,0,0,3,0,2,2,0,0,0,8,51,40,-11
Region Norrbotten,Norrbotten,250093,65.584819,22.1567026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,2,0,0,0,2,1,4,0,1,0,0,2,5,3,0,2,1,0,1,3,0,0,0,0,0,4,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,43,40,-3
Region Skåne,Skåne,1377827,55.6087551,13.0004841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,1,0,1,0,2,2,2,0,1,1,0,3,1,2,4,2,4,0,5,1,7,0,1,10,1,0,3,1,1,0,6,0,1,2,3,0,2,2,11,3,7,1,1,1,8,9,5,1,4,0,1,8,138,130,-8
Region Stockholm,Stockholm,2377081,59.334591,18.06324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,3,2,0,6,3,18,6,17,3,5,21,15,45,30,25,21,26,52,78,38,67,24,13,5,15,73,86,93,21,81,24,23,78,48,58,64,16,1,28,50,32,87,11,11,2,33,61,27,53,56,14,2,12,10,35,46,47,7,4,18,9,1864,1864,0
Region Sörmland,Södermanland,297540,58.7556833,16.9947833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,2,0,2,3,2,2,1,0,6,3,4,10,5,6,3,10,4,10,4,1,1,5,2,22,3,2,7,0,3,8,11,3,3,0,0,5,0,4,3,6,0,0,5,1,2,2,3,4,0,0,6,0,0,6,0,0,0,4,204,204,0
Region Uppsala,Uppsala,383713,59.85882,17.63889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,1,1,0,2,0,0,0,1,0,4,16,0,0,0,9,0,4,2,0,0,15,4,1,4,0,1,0,14,3,7,0,4,0,0,9,2,6,4,2,0,0,8,2,3,3,2,3,0,1,5,148,142,-6
Region Värmland,Värmland,282414,59.3875,13.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,3,0,0,2,0,0,0,5,0,1,1,0,0,0,4,1,0,1,0,0,0,1,0,24,24,0
Region Västerbotten,Västerbotten,271736,63.828333,20.270556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,2,0,0,1,0,2,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,19,19,0
Region Västernorrland,Västernorrland,245347,62.632222,17.938056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,2,1,0,0,0,2,2,0,2,0,0,2,4,2,0,4,0,0,7,2,1,2,2,1,1,1,1,1,1,1,1,2,2,6,0,1,1,0,0,0,3,64,64,0
Region Västmanland,Västmanland,275845,59.60746,16.55215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,4,2,4,2,0,1,0,0,7,3,7,4,3,2,0,16,4,8,8,5,0,0,4,4,3,0,0,2,0,2,1,0,0,2,2,0,16,0,3,0,0,0,0,5,129,123,-6
Västra Götalandsregionen,Västra Götaland,1725881,57.70887,11.97456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,3,5,4,0,3,5,7,6,10,0,1,1,3,6,7,8,5,1,2,20,28,3,15,12,1,2,12,16,17,15,0,0,3,7,12,4,42,4,0,1,7,47,3,35,0,0,0,3,392,392,0
Region Östergötland,Östergötland,465495,58.409444,15.625556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,1,5,2,3,2,1,0,1,3,0,4,3,2,0,2,4,8,3,7,3,5,1,4,0,11,5,3,2,2,3,4,1,7,10,0,1,3,2,11,1,4,8,3,0,0,3,0,6,0,0,0,3,162,159,-3
,Orebro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
Todays_Total,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,1,2,1,5,4,3,10,7,23,15,27,7,11,42,33,61,48,51,33,37,78,112,78,115,70,20,18,32,134,139,136,86,109,28,57,162,137,96,122,43,6,83,91,92,131,64,18,12,88,90,84,94,134,39,12,38,67,134,73,122,16,5,27,63,,,
Total,,,,,,,,,,,,,,,,,,,,1,1,1,2,3,7,8,10,11,16,20,23,33,40,63,78,105,112,123,165,198,259,307,358,391,428,506,618,696,811,881,901,919,951,1085,1224,1360,1446,1555,1583,1640,1802,1939,2035,2157,2200,2206,2289,2380,2472,2603,2667,2685,2697,2785,2875,2959,3053,3187,3226,3238,3276,3343,3477,3550,3672,3688,3693,3720,3783,,3743,-40
