Anos;Preço do petróleo por barril
31/jan/18;56.55
28/fev/18;52.98
31/mar/18;53.86
30/abr/18;58.35
31/mai/18;64.89
30/jun/18;64.39
31/jul/18;63.70
31/ago/18;63.32
30/set/18;67.64
31/out/18;70.07
30/nov/18;57.34
31/dez/18;49.60
31/jan/19;51.92
28/fev/19;56.50
31/mar/19;58.76
30/abr/19;63.35
31/mai/19;63.06
30/jun/19;56.05
31/jul/19;57.05
31/ago/19;53.25
30/set/19;56.64
31/out/19;53.71
30/nov/19;56.78
31/dez/19;59.26
31/jan/20;57.30
29/fev/20;50.44
31/mar/20;29.81
30/abr/20;21.49