Trimestre/ano;PIB a preços constantes;Taxa de variação homóloga;Taxa de variação trimestral
1.ºT de 2016;46137;1.4;0.5
2.ºT de 2016;46278;1.4;0.3
3.ºT de 2016;46822;2.4;1.2
4.ºT de 2016;47252;2.9;0.9
1.ºT de 2017;47813;3.6;1.2
2.ºT de 2017;48050;3.8;0.5
3.ºT de 2017;48389;3.3;0.7
4.ºT de 2017;48777;3.2;0.8
1.ºT de 2018;49070;2.6;0.6
2.ºT de 2018;49463;2.9;0.8
3.ºT de 2018;49683;2.7;0.4
4.ºT de 2018;49903;2.3;0.4
1.ºT de 2019;50237;2.4;0.7
2.ºT de 2019;50488;2.1;0.5
3.ºT de 2019;50644;1.9;0.3
4.ºT de 2019;50023;2.2;0.7
1.ºT de 2020;;-2.4;-3.9