"Data (mm-dd)","Morte natural","Causa externa","Sujeito a investigação"
"Jan-01","325","2","44"
"Jan-02","343","1","42"
"Jan-03","327","4","36"
"Jan-04","335","4","32"
"Jan-05","321","8","38"
"Jan-06","367","7","35"
"Jan-07","371","7","37"
"Jan-08","340","4","32"
"Jan-09","368","7","42"
"Jan-10","396","7","34"
"Jan-11","351","10","47"
"Jan-12","382","5","44"
"Jan-13","378","5","33"
"Jan-14","426","5","52"
"Jan-15","376","5","33"
"Jan-16","396","8","41"
"Jan-17","372","2","39"
"Jan-18","383","0","32"
"Jan-19","371","4","28"
"Jan-20","362","4","48"
"Jan-21","350","6","52"
"Jan-22","396","6","36"
"Jan-23","403","3","39"
"Jan-24","412","3","42"
"Jan-25","395","3","41"
"Jan-26","374","4","38"
"Jan-27","391","1","41"
"Jan-28","381","9","44"
"Jan-29","392","8","45"
"Jan-30","366","4","55"
"Jan-31","393","2","36"
"Fev-01","358","3","40"
"Fev-02","363","4","31"
"Fev-03","337","4","29"
"Fev-04","325","7","49"
"Fev-05","369","5","41"
"Fev-06","386","4","38"
"Fev-07","351","6","38"
"Fev-08","343","8","32"
"Fev-09","365","10","29"
"Fev-10","337","3","41"
"Fev-11","402","6","40"
"Fev-12","344","3","41"
"Fev-13","325","3","39"
"Fev-14","346","2","41"
"Fev-15","357","4","30"
"Fev-16","342","5","32"
"Fev-17","331","8","24"
"Fev-18","338","1","29"
"Fev-19","353","1","41"
"Fev-20","304","5","24"
"Fev-21","344","4","29"
"Fev-22","304","6","36"
"Fev-23","349","5","27"
"Fev-24","318","3","34"
"Fev-25","322","4","28"
"Fev-26","325","3","33"
"Fev-27","302","2","27"
"Fev-28","328","3","22"
"Mar-01","321","9","22"
"Mar-02","301","3","36"
"Mar-03","327","4","24"
"Mar-04","314","3","36"
"Mar-05","300","4","31"
"Mar-06","286","6","25"
"Mar-07","306","4","25"
"Mar-08","296","5","32"
"Mar-09","299","5","35"
"Mar-10","307","3","24"
"Mar-11","303","7","24"
"Mar-12","314","1","23"
"Mar-13","282","5","33"
"Mar-14","317","2","16"
"Mar-15","253","2","17"
"Mar-16","297","4","39"
"Mar-17","293","2","22"
"Mar-18","265","7","24"
"Mar-19","285","3","34"
"Mar-20","299","9","26"
"Mar-21","311","5","22"
"Mar-22","260","2","35"
"Mar-23","293","4","23"
"Mar-24","255","4","37"
"Mar-25","257","3","38"
"Mar-26","287","3","28"
"Mar-27","287","4","20"
"Mar-28","243","4","28"
"Mar-29","252","3","28"
"Mar-30","311","4","33"
"Mar-31","279","2","26"
"Abr-01","298","1","31"
"Abr-02","280","5","23"
"Abr-03","248","0","17"
"Abr-04","247","2","36"
"Abr-05","292","2","16"
"Abr-06","265","7","19"
"Abr-07","287","1","37"
"Abr-08","303","6","26"
"Abr-09","253","3","29"
"Abr-10","290","6","27"
"Abr-11","274","2","23"
"Abr-12","270","3","25"
"Abr-13","267","1","26"
"Abr-14","276","2","26"
"Abr-15","273","7","45"
"Abr-16","277","4","32"
"Abr-17","259","3","57"
"Abr-18","242","6","26"
"Abr-19","264","1","23"
"Abr-20","268","4","32"
"Abr-21","277","7","27"
"Abr-22","299","7","21"
"Abr-23","273","4","31"
"Abr-24","284","4","31"
"Abr-25","251","4","15"
"Abr-26","264","5","24"
"Abr-27","250","3","21"
"Abr-28","274","3","28"
"Abr-29","263","2","33"
"Abr-30","281","3","33"
"Mai-01","250","3","23"
"Mai-02","240","5","23"
"Mai-03","274","6","18"
"Mai-04","287","4","19"
"Mai-05","294","4","18"
"Mai-06","254","3","20"
"Mai-07","279","5","26"
"Mai-08","253","8","19"
"Mai-09","214","8","24"
"Mai-10","301","3","32"
"Mai-11","247","5","27"
"Mai-12","255","5","21"
"Mai-13","239","3","30"
"Mai-14","266","7","28"
"Mai-15","292","6","26"
"Mai-16","258","1","25"
"Mai-17","217","3","20"
"Mai-18","232","6","21"
"Mai-19","239","6","16"
"Mai-20","240","3","29"
"Mai-21","236","3","29"
"Mai-22","244","3","29"
"Mai-23","225","6","19"
"Mai-24","237","3","29"
"Mai-25","269","3","28"
"Mai-26","262","5","26"
"Mai-27","232","4","29"
"Mai-28","231","8","27"
"Mai-29","229","6","16"
"Mai-30","264","5","32"
"Mai-31","268","3","14"
"Jun-01","275","5","33"
"Jun-02","248","3","35"
"Jun-03","252","11","24"
"Jun-04","265","2","32"
"Jun-05","248","4","25"
"Jun-06","231","1","18"
"Jun-07","216","4","29"
"Jun-08","225","4","27"
"Jun-09","202","4","26"
"Jun-10","223","4","28"
"Jun-11","249","4","25"
"Jun-12","224","7","19"
"Jun-13","238","6","22"
"Jun-14","238","3","22"
"Jun-15","279","4","29"
"Jun-16","228","2","25"
"Jun-17","251","3","24"
"Jun-18","245","3","21"
"Jun-19","257","4","26"
"Jun-20","250","2","21"
"Jun-21","232","3","27"
"Jun-22","230","2","26"
"Jun-23","272","2","18"
"Jun-24","267","5","21"
"Jun-25","272","4","28"
"Jun-26","240","9","21"
"Jun-27","239","2","19"
"Jun-28","211","3","30"
"Jun-29","249","7","23"
"Jun-30","235","2","32"
"Jul-01","233","5","30"
"Jul-02","258","2","27"
"Jul-03","249","3","25"
"Jul-04","238","1","26"
"Jul-05","260","5","18"
"Jul-06","240","3","18"
"Jul-07","235","3","18"
"Jul-08","243","7","25"
"Jul-09","228","1","28"
"Jul-10","239","1","30"
"Jul-11","257","4","23"
"Jul-12","257","8","24"
"Jul-13","247","1","22"
"Jul-14","229","2","23"
"Jul-15","217","4","31"
"Jul-16","224","6","24"
"Jul-17","231","5","21"
"Jul-18","231","4","20"
"Jul-19","260","5","35"
"Jul-20","234","2","30"
"Jul-21","219","3","30"
"Jul-22","240","4","22"
"Jul-23","241","3","26"
"Jul-24","218","1","23"
"Jul-25","264","8","22"
"Jul-26","230","2","23"
"Jul-27","225","2","29"
"Jul-28","246","8","22"
"Jul-29","240","4","30"
"Jul-30","204","5","23"
"Jul-31","232","5","19"
"Ago-01","231","5","23"
"Ago-02","254","4","31"
"Ago-03","277","4","28"
"Ago-04","213","4","18"
"Ago-05","223","4","18"
"Ago-06","235","4","33"
"Ago-07","232","2","26"
"Ago-08","269","9","23"
"Ago-09","256","4","25"
"Ago-10","237","4","16"
"Ago-11","204","7","19"
"Ago-12","221","7","23"
"Ago-13","224","2","32"
"Ago-14","224","1","20"
"Ago-15","203","5","23"
"Ago-16","238","6","18"
"Ago-17","237","6","20"
"Ago-18","236","4","34"
"Ago-19","231","3","24"
"Ago-20","239","5","21"
"Ago-21","262","2","23"
"Ago-22","238","3","29"
"Ago-23","261","4","37"
"Ago-24","281","3","25"
"Ago-25","229","3","22"
"Ago-26","259","3","29"
"Ago-27","230","2","25"
"Ago-28","240","1","33"
"Ago-29","252","7","29"
"Ago-30","244","3","25"
"Ago-31","219","6","24"
"Set-01","231","3","29"
"Set-02","240","5","28"
"Set-03","255","4","25"
"Set-04","257","3","23"
"Set-05","256","5","24"
"Set-06","240","6","20"
"Set-07","243","3","20"
"Set-08","253","3","31"
"Set-09","240","3","15"
"Set-10","214","4","25"
"Set-11","230","3","25"
"Set-12","254","1","24"
"Set-13","216","4","29"
"Set-14","258","3","26"
"Set-15","212","3","29"
"Set-16","269","6","20"
"Set-17","228","4","28"
"Set-18","236","4","26"
"Set-19","245","3","16"
"Set-20","264","8","21"
"Set-21","244","4","30"
"Set-22","230","2","21"
"Set-23","255","4","29"
"Set-24","217","6","15"
"Set-25","227","7","19"
"Set-26","231","7","24"
"Set-27","224","5","25"
"Set-28","245","6","22"
"Set-29","239","9","18"
"Set-30","269","4","20"
"Out-01","247","1","23"
"Out-02","256","0","30"
"Out-03","228","3","31"
"Out-04","262","5","25"
"Out-05","248","1","17"
"Out-06","217","6","27"
"Out-07","237","4","25"
"Out-08","254","4","20"
"Out-09","249","3","19"
"Out-10","241","7","23"
"Out-11","224","3","21"
"Out-12","245","3","15"
"Out-13","249","3","20"
"Out-14","243","1","26"
"Out-15","221","3","25"
"Out-16","232","4","26"
"Out-17","270","3","25"
"Out-18","244","5","33"
"Out-19","254","4","30"
"Out-20","244","6","28"
"Out-21","260","9","29"
"Out-22","269","3","32"
"Out-23","283","2","25"
"Out-24","266","4","26"
"Out-25","271","2","29"
"Out-26","273","5","25"
"Out-27","281","7","33"
"Out-28","292","1","26"
"Out-29","262","4","25"
"Out-30","295","3","28"
"Out-31","277","3","25"
"Nov-01","280","7","23"
"Nov-02","270","3","24"
"Nov-03","262","5","32"
"Nov-04","285","5","31"
"Nov-05","280","1","20"
"Nov-06","264","2","33"
"Nov-07","265","5","30"
"Nov-08","269","4","41"
"Nov-09","244","5","41"
"Nov-10","250","3","33"
"Nov-11","254","2","51"
"Nov-12","282","5","23"
"Nov-13","265","3","31"
"Nov-14","270","2","43"
"Nov-15","281","3","37"
"Nov-16","272","4","24"
"Nov-17","275","6","37"
"Nov-18","266","6","29"
"Nov-19","311","1","40"
"Nov-20","263","6","40"
"Nov-21","295","4","29"
"Nov-22","301","4","42"
"Nov-23","275","0","34"
"Nov-24","282","1","21"
"Nov-25","294","3","33"
"Nov-26","310","2","23"
"Nov-27","296","3","28"
"Nov-28","289","1","29"
"Nov-29","293","6","25"
"Nov-30","307","4","14"
"Dez-01","265","4","20"
"Dez-02","270","4","36"
"Dez-03","270","4","26"
"Dez-04","248","3","20"
"Dez-05","311","6","24"
"Dez-06","278","10","24"
"Dez-07","276","3","26"
"Dez-08","267","3","30"
"Dez-09","301","5","26"
"Dez-10","288","7","40"
"Dez-11","298","2","33"
"Dez-12","301","2","33"
"Dez-13","270","3","26"
"Dez-14","300","3","29"
"Dez-15","300","6","29"
"Dez-16","303","2","30"
"Dez-17","239","3","25"
"Dez-18","274","4","39"
"Dez-19","310","7","39"
"Dez-20","301","1","35"
"Dez-21","310","4","28"
"Dez-22","309","4","32"
"Dez-23","288","3","31"
"Dez-24","298","5","32"
"Dez-25","285","3","41"
"Dez-26","272","4","38"
"Dez-27","316","2","32"
"Dez-28","285","3","30"
"Dez-29","310","7","37"
"Dez-30","300","7","32"
"Dez-31","300","9","36"